[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': 'd48d50ed-4668-45a1-bf92-1900818e5696', 'ip': '10.81.44.56', 'hostname': 'iZbp19vensymevivmvnt94Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.27', 'cpu_count': 8, 'memory': 32768}
{'id': '65664b98-621e-4126-9222-bf5138f7aa74', 'ip': '10.81.45.166', 'hostname': 'iZbp19vensymevivmvnt99Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.147', 'cpu_count': 8, 'memory': 32768}
{'id': '2e0f19d1-88d2-4198-a101-6ae35e6c5cd0', 'ip': '10.81.86.35', 'hostname': 'iZbp1esy3n96eopc0580w1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.5.190', 'cpu_count': 4, 'memory': 16384}
{'id': '0a884cbc-3b39-4621-b57a-23067c683027', 'ip': '10.81.77.19', 'hostname': 'iZbp1bne9d5ha95y390sj9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.249.19', 'cpu_count': 8, 'memory': 32768}
{'id': '5a8d783e-918c-44e3-9a1a-64238c3bc604', 'ip': '10.46.229.87', 'hostname': 'iZbp11kij6ti02x9pucepwZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '198b7f08-5ee3-49ab-a133-004be5ee9a2d', 'ip': '10.46.228.112', 'hostname': 'iZbp11kij6ti02x9pucepvZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '445aa5eb-99c2-422f-aa8b-ba685dd0a01b', 'ip': '10.135.197.12', 'hostname': 'iZbp11zz9zmbbkwelrpny5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '101.37.255.176', 'cpu_count': 2, 'memory': 4096}
{'id': 'deca2d86-25f7-46d7-be0c-ee63eb40e00a', 'ip': '10.80.221.193', 'hostname': 'iZbp11s6lw79vduuz8yo8fZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': 'd5cff1a3-eaec-4bd1-af24-d5942cc814ea', 'ip': '10.46.228.53', 'hostname': 'iZbp1h59bz4ehathu4edmmZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 16384}
{'id': '2266cb83-e811-4569-8401-562bbf2e1961', 'ip': '10.46.227.217', 'hostname': 'iZbp12rrr9fg738jtl4ih6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '9b4c9f3e-cc65-4913-9932-3af56e7c9f04', 'ip': '10.165.109.17', 'hostname': 'iZbp12rrr9fg738jtl4ih2Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '2471ad8a-f1e3-424e-8457-c5ad54b46e54', 'ip': '10.80.227.172', 'hostname': 'iZbp12rrr9fg738jtl4ih5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '6d18500c-b1f6-46f1-97e5-e18d4b0fb166', 'ip': '10.47.52.94', 'hostname': 'iZbp1503xw2q1fhd40x0wyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '61638fda-f1a7-417c-aa43-fb4300fb1162', 'ip': '10.80.102.146', 'hostname': 'iZbp1arswd1mph6zrp2ehhZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
