[<aliyunsdkcore.client.AcsClient object at 0x111269e10>]
{'id': '7ca54ea4-e28b-4dce-85bb-56fc7486f606', 'ip': '10.81.44.56', 'hostname': 'iZbp19vensymevivmvnt94Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.27', 'cpu_count': 8, 'memory': 32768}
{'id': '8d9bee16-522d-4a1d-bfdd-9bd8206e6160', 'ip': '10.81.45.166', 'hostname': 'iZbp19vensymevivmvnt99Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.147', 'cpu_count': 8, 'memory': 32768}
{'id': '051e16e9-f137-4e2d-b22d-c566c51be6c9', 'ip': '10.81.86.35', 'hostname': 'iZbp1esy3n96eopc0580w1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.5.190', 'cpu_count': 4, 'memory': 16384}
{'id': 'fef78102-2bad-4a55-8fbb-951a0510c571', 'ip': '10.81.77.19', 'hostname': 'iZbp1bne9d5ha95y390sj9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.249.19', 'cpu_count': 8, 'memory': 32768}
{'id': '389777ea-70d8-4408-9345-0ef7d5bd2cc0', 'ip': '10.46.229.87', 'hostname': 'iZbp11kij6ti02x9pucepwZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '529032e0-7c4b-4775-b5fa-565bf052b5ad', 'ip': '10.46.228.112', 'hostname': 'iZbp11kij6ti02x9pucepvZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'eee796ef-988f-4865-a662-477a2a0e5b96', 'ip': '10.135.197.12', 'hostname': 'iZbp11zz9zmbbkwelrpny5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '101.37.255.176', 'cpu_count': 2, 'memory': 4096}
{'id': '07955c73-11c8-48a0-8823-859019541ced', 'ip': '10.80.221.193', 'hostname': 'iZbp11s6lw79vduuz8yo8fZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': '8ac056da-dc90-433a-bf6d-85d9cef9c42e', 'ip': '10.46.228.53', 'hostname': 'iZbp1h59bz4ehathu4edmmZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 16384}
{'id': 'd055e260-3a94-4bb6-93f8-f30ba41529d7', 'ip': '10.46.227.217', 'hostname': 'iZbp12rrr9fg738jtl4ih6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '20fc7666-0a69-4a18-9e28-3f1cd0a14bb1', 'ip': '10.165.109.17', 'hostname': 'iZbp12rrr9fg738jtl4ih2Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '1ebdf9b5-0c5a-4866-ac43-c1f4437c299e', 'ip': '10.80.227.172', 'hostname': 'iZbp12rrr9fg738jtl4ih5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '720a31c8-6259-4868-bc26-b7066fe69f40', 'ip': '10.47.52.94', 'hostname': 'iZbp1503xw2q1fhd40x0wyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '45a097c3-0636-4f0c-a2d3-db88ec5211f6', 'ip': '10.80.102.146', 'hostname': 'iZbp1arswd1mph6zrp2ehhZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'dac3d0c5-f804-4144-9fc6-08c1b6e13ed3', 'ip': '10.80.114.55', 'hostname': 'iZbp1arswd1mph6zrp2ehjZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
