[<aliyunsdkcore.client.AcsClient object at 0x10a93a358>]
{'id': '1d55010b-5a7e-4958-adf6-c748bc7d75bd', 'ip': '10.81.44.56', 'hostname': 'iZbp19vensymevivmvnt94Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.27', 'cpu_count': 8, 'memory': 32768}
{'id': '091e7e0a-700d-483c-8920-a1cc1c23e754', 'ip': '10.81.45.166', 'hostname': 'iZbp19vensymevivmvnt99Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.147', 'cpu_count': 8, 'memory': 32768}
{'id': '986a6f3b-04de-4ba5-b0ef-5fef947a3785', 'ip': '10.81.86.35', 'hostname': 'iZbp1esy3n96eopc0580w1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.5.190', 'cpu_count': 4, 'memory': 16384}
{'id': '73e453b7-6af0-416f-8b45-ac141a4dbc40', 'ip': '10.81.77.19', 'hostname': 'iZbp1bne9d5ha95y390sj9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.249.19', 'cpu_count': 8, 'memory': 32768}
{'id': '168fbf4e-d35a-4be7-892e-5e63f5e432fd', 'ip': '10.46.229.87', 'hostname': 'iZbp11kij6ti02x9pucepwZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'c295d194-8a67-449f-b27e-4873b140ae5d', 'ip': '10.46.228.112', 'hostname': 'iZbp11kij6ti02x9pucepvZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '1027edff-70a8-48a9-b1be-a3d889dfbde8', 'ip': '10.135.197.12', 'hostname': 'iZbp11zz9zmbbkwelrpny5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '101.37.255.176', 'cpu_count': 2, 'memory': 4096}
{'id': '480a3958-0925-44fd-a009-9997af9e9c8d', 'ip': '10.80.221.193', 'hostname': 'iZbp11s6lw79vduuz8yo8fZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': '2c59e4a5-9246-4bd6-b6bf-0bc8f5442436', 'ip': '10.46.228.53', 'hostname': 'iZbp1h59bz4ehathu4edmmZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 16384}
{'id': 'ebc0d0cd-cd3a-436f-b1d2-cd78911158f1', 'ip': '10.46.227.217', 'hostname': 'iZbp12rrr9fg738jtl4ih6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'd9013e86-1d27-4f43-85e4-e06d8901ebfa', 'ip': '10.165.109.17', 'hostname': 'iZbp12rrr9fg738jtl4ih2Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
